,confirmed,department,nation,operator,operators_departments,year
0,unconfirmed,Client,spain,Zachary Henry,german,2018
1,confirmed,Client,spain,Stephen Silva,german,2018
2,unconfirmed,Business,france,James Rivera,spanish,2018
3,unconfirmed,Business,spain,Kristen Berry,spanish,2018
4,unconfirmed,Business,spain,Kristen Berry,spanish,2018
5,unconfirmed,Client,germany,Wesley Blanchard,german,2018
6,unconfirmed,Client,italy,Wesley Blanchard,german,2018
7,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
8,unconfirmed,Business,germany,James Rivera,spanish,2018
9,confirmed,Business,italy,Tammie Friedman,french,2018
10,unconfirmed,Client,france,Karen Harrington,german,2018
11,unconfirmed,Client,spain,Kristen Berry,spanish,2018
12,unconfirmed,Business,spain,Kenneth Lee,italan,2018
13,unconfirmed,Client,germany,Tammie Friedman,french,2018
14,confirmed,Business,germany,Kristen Berry,spanish,2018
15,unconfirmed,Client,france,Tammie Friedman,french,2018
16,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
17,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
18,unconfirmed,Client,spain,Denise Andrews,german,2018
19,unconfirmed,Business,france,Denise Andrews,german,2018
20,confirmed,Client,spain,Tammie Friedman,french,2018
21,confirmed,Client,spain,Tammie Friedman,french,2018
22,unconfirmed,Client,france,Kenneth Lee,italan,2018
23,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
24,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
25,unconfirmed,Client,italy,Tammie Friedman,french,2018
26,unconfirmed,Client,germany,James Rivera,spanish,2018
27,confirmed,Client,italy,Mr. Timothy Hall,italan,2018
28,unconfirmed,Business,germany,Denise Andrews,german,2018
29,confirmed,Client,italy,Tammie Friedman,french,2018
30,unconfirmed,Client,france,Kristen Berry,spanish,2018
31,unconfirmed,Client,italy,Kenneth Lee,italan,2018
32,confirmed,Client,italy,Jerry Rivera,spanish,2018
33,unconfirmed,Client,france,Kristen Berry,spanish,2018
34,unconfirmed,Client,france,Kenneth Lee,italan,2018
35,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
36,unconfirmed,Client,spain,Denise Andrews,german,2018
37,confirmed,Business,spain,Mr. Timothy Hall,italan,2018
38,unconfirmed,Client,germany,Dennis David,french,2018
39,confirmed,Client,italy,Dennis David,french,2018
40,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
41,confirmed,Client,spain,Tristan Diaz,spanish,2018
42,confirmed,Client,italy,Stephen Silva,german,2018
43,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
44,unconfirmed,Business,germany,Wesley Blanchard,german,2018
45,unconfirmed,Business,spain,Karen Harrington,german,2018
46,confirmed,Business,germany,Wesley Blanchard,german,2018
47,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
48,unconfirmed,Business,france,Tammie Friedman,french,2018
49,confirmed,Client,germany,Mr. Timothy Hall,italan,2018
50,confirmed,Business,spain,Mr. Timothy Hall,italan,2018
51,unconfirmed,Client,germany,Tammie Friedman,french,2018
52,unconfirmed,Client,italy,Karen Harrington,german,2018
53,unconfirmed,Client,spain,Zachary Henry,german,2018
54,confirmed,Client,germany,Tammie Friedman,french,2018
55,unconfirmed,Business,italy,Kristen Berry,spanish,2018
56,confirmed,Client,germany,Zachary Henry,german,2018
57,confirmed,Business,italy,Karen Harrington,german,2018
58,unconfirmed,Client,germany,Denise Andrews,german,2018
59,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
60,unconfirmed,Business,france,James Rivera,spanish,2018
61,confirmed,Client,italy,Tristan Diaz,spanish,2018
62,confirmed,Business,italy,Tammie Friedman,french,2018
63,confirmed,Client,spain,Tammie Friedman,french,2018
64,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
65,unconfirmed,Business,germany,Dennis David,french,2018
66,unconfirmed,Business,italy,Dennis David,french,2018
67,unconfirmed,Client,spain,James Rivera,spanish,2018
68,unconfirmed,Client,spain,James Rivera,spanish,2018
69,unconfirmed,Client,spain,Wesley Blanchard,german,2018
70,unconfirmed,Client,spain,Stephen Silva,german,2018
71,confirmed,Client,spain,Karen Harrington,german,2018
72,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
73,unconfirmed,Business,italy,James Rivera,spanish,2018
74,confirmed,Client,spain,Stephen Silva,german,2018
75,unconfirmed,Client,germany,Stephen Silva,german,2018
76,confirmed,Client,france,James Rivera,spanish,2018
77,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
78,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
79,unconfirmed,Business,france,Tammie Friedman,french,2018
80,unconfirmed,Client,spain,Dennis David,french,2018
81,unconfirmed,Client,germany,Tammie Friedman,french,2018
82,unconfirmed,Client,italy,Stephen Silva,german,2018
83,unconfirmed,Business,italy,Mr. Timothy Hall,italan,2018
84,confirmed,Client,spain,Kenneth Lee,italan,2018
85,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
86,unconfirmed,Business,germany,James Rivera,spanish,2018
87,unconfirmed,Client,spain,Kristen Berry,spanish,2018
88,unconfirmed,Client,spain,Kristen Berry,spanish,2018
89,unconfirmed,Business,spain,Tiffany Jones,spanish,2018
90,unconfirmed,Client,spain,Stephen Silva,german,2018
91,unconfirmed,Client,spain,Tammie Friedman,french,2018
92,confirmed,Business,france,Tristan Diaz,spanish,2018
93,confirmed,Client,germany,Kristen Berry,spanish,2018
94,unconfirmed,Business,spain,Dennis David,french,2018
95,unconfirmed,Client,spain,James Rivera,spanish,2018
96,confirmed,Client,spain,Tristan Diaz,spanish,2018
97,unconfirmed,Client,spain,Tammie Friedman,french,2018
98,unconfirmed,Business,spain,Zachary Henry,german,2018
99,unconfirmed,Business,france,Tammie Friedman,french,2018
100,unconfirmed,Client,france,Kenneth Lee,italan,2018
101,unconfirmed,Business,italy,Denise Andrews,german,2018
102,confirmed,Business,germany,Tristan Diaz,spanish,2018
103,confirmed,Client,spain,Wesley Blanchard,german,2018
